                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.88656,                 0.7871,                 1.1289,                 0.8628,                 0.6668,                0.75975,                0.44367,                 1.4848,                0.93652,                 1.5573,             0.00040769,             0.00040769,             0.00040769
                     54,                0.89574,                 0.7872,                 1.1331,                0.88709,                0.68388,                0.76916,                0.46013,                 1.4334,                0.90078,                 1.4994,              0.0004018,              0.0004018,              0.0004018
                     55,                 0.8863,                0.78506,                  1.128,                0.86529,                0.69432,                0.76611,                0.45481,                  1.412,                0.88495,                 1.4776,             0.00039591,             0.00039591,             0.00039591
                     56,                0.88185,                0.78039,                 1.1251,                 0.9057,                0.67019,                0.76962,                0.45227,                 1.4404,                 0.8902,                 1.5038,             0.00039002,             0.00039002,             0.00039002
                     57,                0.88006,                0.76881,                 1.1222,                0.85877,                0.70832,                0.77045,                0.46491,                 1.4365,                 0.8927,                 1.5072,             0.00038413,             0.00038413,             0.00038413
                     58,                0.87463,                0.76882,                 1.1212,                0.85802,                0.69063,                0.75812,                0.43529,                 1.4876,                 0.9364,                 1.5365,             0.00037824,             0.00037824,             0.00037824
                     59,                0.86597,                0.75019,                 1.1141,                0.82805,                0.70243,                0.75597,                0.44328,                 1.4575,                0.90135,                 1.5032,             0.00037235,             0.00037235,             0.00037235
                     60,                0.87275,                0.75568,                  1.117,                0.89751,                0.69108,                0.76936,                0.45954,                 1.4098,                0.88757,                 1.4997,             0.00036646,             0.00036646,             0.00036646
                     61,                0.86574,                0.75587,                 1.1183,                0.89806,                0.68517,                0.76999,                0.44773,                 1.4969,                0.89784,                 1.5286,             0.00036057,             0.00036057,             0.00036057
                     62,                0.86504,                0.74912,                 1.1153,                  0.884,                0.70559,                0.78236,                0.46498,                 1.4007,                0.84905,                 1.4686,             0.00035468,             0.00035468,             0.00035468
                     63,                0.86475,                0.74659,                 1.1117,                0.87594,                0.67783,                0.76075,                0.46179,                 1.3915,                0.86712,                 1.4602,             0.00034879,             0.00034879,             0.00034879
                     64,                0.86287,                0.74425,                  1.109,                0.88392,                0.69074,                0.77615,                0.46619,                 1.4079,                0.85824,                 1.5001,              0.0003429,              0.0003429,              0.0003429
                     65,                0.84835,                0.73469,                 1.1029,                0.88741,                 0.6871,                 0.7664,                0.46258,                 1.3999,                0.86272,                 1.4614,             0.00033701,             0.00033701,             0.00033701
                     66,                0.86059,                0.74462,                 1.1102,                0.88848,                0.68401,                0.76235,                0.46865,                 1.3573,                0.83685,                 1.4321,             0.00033112,             0.00033112,             0.00033112
                     67,                0.85025,                0.73546,                 1.1051,                0.89988,                0.68748,                0.77234,                0.47559,                 1.3635,                0.86213,                 1.4315,             0.00032523,             0.00032523,             0.00032523
                     68,                0.85169,                0.72628,                 1.0991,                  0.856,                0.70635,                0.77502,                0.47141,                 1.3893,                0.82431,                 1.4655,             0.00031934,             0.00031934,             0.00031934
                     69,                0.85484,                0.73033,                 1.1045,                0.91054,                0.67803,                 0.7732,                0.47192,                 1.4145,                0.84382,                  1.492,             0.00031345,             0.00031345,             0.00031345
                     70,                0.85008,                0.72853,                 1.1032,                0.88353,                0.67794,                0.76318,                0.47386,                 1.3375,                 0.8524,                 1.4504,             0.00030756,             0.00030756,             0.00030756
                     71,                0.83784,                0.71349,                 1.0958,                0.86284,                0.69823,                0.76644,                0.47273,                 1.3593,                0.83532,                 1.4624,             0.00030167,             0.00030167,             0.00030167
                     72,                0.84072,                0.71858,                 1.1005,                0.89755,                0.70067,                0.79292,                0.49115,                 1.3167,                0.80402,                 1.4221,             0.00029577,             0.00029577,             0.00029577
                     73,                0.84262,                0.71331,                 1.0988,                0.92502,                0.66919,                0.77168,                0.47521,                 1.3576,                0.82741,                 1.4467,             0.00028988,             0.00028988,             0.00028988
                     74,                0.83329,                0.70803,                 1.0931,                0.89547,                0.68857,                0.77126,                0.46277,                 1.4211,                 0.8499,                 1.4951,             0.00028399,             0.00028399,             0.00028399
                     75,                0.83548,                0.70511,                 1.0917,                0.90764,                0.69116,                0.78063,                0.49279,                 1.3121,                0.80647,                 1.4117,              0.0002781,              0.0002781,              0.0002781
